date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2014-02-18,Kevin Anderson,Tim Smyczek,,,RH,RH,M
2014-02-18,Marcos Baghdatis,Jiri Vesely,,,RH,LH,M
2014-02-18,Teymuraz Gabashvili,Matthew Ebden,,,RH,RH,M
2014-02-18,Steve Johnson,Mikhail Kukushkin,,,RH,RH,M
2014-02-18,Marinko Matosevic,David Goffin,,,RH,RH,M
2014-02-18,Lleyton Hewitt,Bradley Klahn,,,RH,LH,M
2014-02-18,Tommy Haas,Wayne Odesnik,,,RH,LH,M
2014-02-18,Ivo Karlovic,Samuel Groth,,,RH,RH,M
2014-02-19,John Isner,Michael Russell,,,RH,RH,M
2014-02-19,Marin Cilic,Benjamin Becker,,,RH,RH,M
2014-02-19,Feliciano Lopez,Adrian Mannarino,,,LH,LH,M
2014-02-19,Kevin Anderson,Ivo Karlovic,,,RH,RH,M
2014-02-19,Steve Johnson,Tommy Haas,,,RH,RH,M
2014-02-20,Marinko Matosevic,Lleyton Hewitt,,,RH,RH,M
2014-02-20,Marin Cilic,Ryan Harrison,,,RH,RH,M
2014-02-20,Teymuraz Gabashvili,Kei Nishikori,,,RH,RH,M
2014-02-20,John Isner,Dudi Sela,,,RH,RH,M
2014-02-21,Kevin Anderson,Marinko Matosevic,,,RH,RH,M
2014-02-21,Steve Johnson,Feliciano Lopez,,,RH,LH,M
2014-02-21,Marin Cilic,Teymuraz Gabashvili,,,RH,RH,M
2014-02-22,Kevin Anderson,Steve Johnson,,,RH,RH,M
2014-02-23,Marin Cilic,John Isner,,,RH,RH,M
2014-02-23,Marin Cilic,Kevin Anderson,,,RH,RH,M
2014-02-17,Blaz Kavcic,Thanasi Kokkinakis,,,RH,RH,M
2014-02-18,Tobias Kamke,Kyle Edmund,,,RH,RH,M
2014-02-19,Michael Llodra,Lukas Lacko,,,LH,RH,M
2014-02-19,Nicolas Mahut,Kenny De Schepper,,,RH,LH,M
2014-02-19,Richard Gasquet,Blaz Kavcic,,,RH,RH,M
2014-02-20,Nicolas Mahut,Ricardas Berankis,,,RH,RH,M
2014-02-20,Ivan Dodig,Tobias Kamke,,,RH,RH,M
2014-02-20,Michael Llodra,Andreas Seppi,,,LH,RH,M
2014-02-21,Richard Gasquet,Ivan Dodig,,,RH,RH,M
2014-02-21,Ernests Gulbis,Nicolas Mahut,,,RH,RH,M
2014-02-22,Ernests Gulbis,Richard Gasquet,,,RH,RH,M
2014-02-17,Dusan Lajovic,Filippo Volandri,,,RH,RH,M
2014-02-17,Facundo Bagnis,Joao Souza,,,LH,RH,M
2014-02-18,Thomaz Bellucci,Santiago Giraldo,,,LH,RH,M
2014-02-18,Federico Delbonis,Guilherme Clezar,,,LH,RH,M
2014-02-18,Pablo Andujar,Julian Reister,,,RH,RH,M
2014-02-18,Albert Ramos,Leonardo Mayer,,,LH,RH,M
2014-02-18,Joao Sousa,Marcel Granollers,,,RH,RH,M
2014-02-18,Juan Monaco,Horacio Zeballos,,,RH,LH,M
2014-02-18,Pablo Cuevas,Alejandro Gonzalez,,,RH,RH,M
2014-02-18,Fabio Fognini,Aljaz Bedene,,,RH,RH,M
2014-02-18,David Ferrer,Jeremy Chardy,,,RH,RH,M
2014-02-19,Albert Montanes,Robin Haase,,,RH,RH,M
2014-02-19,Pablo Andujar,Martin Klizan,,,RH,LH,M
2014-02-19,Tommy Robredo,Dusan Lajovic,,,RH,RH,M
2014-02-19,Thomaz Bellucci,Juan Monaco,,,LH,RH,M
2014-02-20,David Ferrer,Federico Delbonis,,,RH,LH,M
2014-02-20,Fabio Fognini,Pablo Cuevas,,,RH,RH,M
2014-02-20,Rafael Nadal,Albert Montanes,,,LH,RH,M
2014-02-21,Joao Sousa,Albert Ramos,,,RH,LH,M
2014-02-21,David Ferrer,Thomaz Bellucci,,,RH,LH,M
